,customer_city,price,cumulative_sum,cumcut
3792,serra do salitre,49.99,13801593.350000365,0.9993384310653038
3793,bandeirantes d'oeste,49.99,13801643.340000365,0.9993420507146372
3794,mossamedes,49.99,13801693.330000365,0.9993456703639706
3795,pratapolis,49.99,13801743.320000365,0.9993492900133041
3796,cocos,49.99,13801793.310000366,0.9993529096626375
3797,amparo da serra,49.95,13801843.260000365,0.9993565264156721
3798,miradouro,49.9,13801893.160000365,0.9993601395483334
3799,agrolandia,49.9,13801943.060000366,0.9993637526809946
3800,almirante tamandare do sul,49.9,13801992.960000366,0.9993673658136559
3801,palmeira d oeste,49.9,13802042.860000366,0.9993709789463171
3802,patis,49.9,13802092.760000367,0.9993745920789784
3803,rio dos cedros,49.9,13802142.660000367,0.9993782052116397
3804,caparao,49.9,13802192.560000367,0.999381818344301
3805,murici,49.9,13802242.460000368,0.9993854314769622
3806,juruti,49.9,13802292.360000368,0.9993890446096235
3807,selbach,49.9,13802342.260000369,0.9993926577422848
3808,guaraquecaba,49.9,13802392.160000369,0.9993962708749461
3809,santa quiteria do maranhao,49.9,13802442.06000037,0.9993998840076074
3810,chorrocho,49.9,13802491.96000037,0.9994034971402687
3811,santana de pirapama,49.9,13802541.86000037,0.9994071102729299
3812,quilometro 14 do mutum,49.9,13802591.76000037,0.9994107234055912
3813,pureza,49.9,13802641.66000037,0.9994143365382525
3814,calmon,49.9,13802691.560000371,0.9994179496709137
3815,maribondo,49.9,13802741.460000372,0.999421562803575
3816,bocaiuva do sul,49.89,13802791.350000372,0.9994251752121617
3817,corumbatai,49.59,13802840.940000372,0.9994287658985077
3818,doce grande,49.49,13802890.430000372,0.9994323493441071
3819,sao jose do xingu,49.3,13802939.730000373,0.9994359190322875
3820,tuiuti,49.0,13802988.730000373,0.9994394669982274
3821,foz do jordao,49.0,13803037.730000373,0.9994430149641672
3822,tamandare,49.0,13803086.730000373,0.9994465629301071
3823,vitorino,49.0,13803135.730000373,0.9994501108960471
3824,bela vista do maranhao,49.0,13803184.730000373,0.999453658861987
3825,elisiario,49.0,13803233.730000373,0.9994572068279268
3826,iomere,49.0,13803282.730000373,0.9994607547938668
3827,araguaia,49.0,13803331.730000373,0.9994643027598067
3828,bodo,48.9,13803380.630000373,0.9994678434849998
3829,pau d'arco,48.9,13803429.530000374,0.9994713842101929
3830,itaguara,48.89,13803478.420000374,0.9994749242113113
3831,indiaroba,48.0,13803526.420000374,0.9994783997697831
3832,machadinho,48.0,13803574.420000374,0.9994818753282548
